Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,"1,009.97",717.381,818.32,"1,032.26","1,127.64","1,283.57","1,425.13","1,846.12","2,373.58","2,673.77","2,972.75","3,595.05","4,370.56","4,114.09","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61","4,124.41","4,525.89","5,257.71","5,345.06","5,268.24","6,373.30","6,369.01","6,591.68","6,968.69","7,470.08","7,958.02","8,469.51",2020
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,268.61","2,305.51","2,254.33","2,316.68","2,432.72","2,753.70","2,698.92","2,705.11","2,143.74","2,127.87","2,473.51","1,819.98","1,873.42","1,894.95","1,542.97","1,499.14","1,643.27","1,658.73","1,633.09","1,630.07","1,794.70","1,768.58","1,806.86","2,128.39","2,636.48","3,141.03","3,508.96","3,986.56","4,943.50","3,890.52","4,480.72","5,447.60","5,575.65","5,477.06","5,466.33","4,153.32","3,918.94","4,079.65","4,118.84","3,953.58","3,304.87","3,659.53","4,151.44","4,162.18","4,242.40","4,371.57","4,523.64","4,637.34",2019
Andorra,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"49,030.23","51,957.31","45,713.97","45,630.20","46,299.28","38,877.49","39,595.32","40,017.74","42,229.90","40,688.49","36,973.85","41,873.06","40,722.63","40,643.31","41,732.56","42,833.36","43,788.26","44,630.35",2021
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,"1,222.04","1,862.42","2,561.86","3,099.09","4,081.69","3,146.80","3,641.44","4,716.25","5,245.02","5,436.52","5,625.74","4,354.92","3,676.83","4,300.10","3,465.06","2,805.26","1,873.11","2,352.13","3,790.70","3,997.71","4,071.39","4,144.01","4,222.69","4,308.01",2017
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,920.25","2,177.09","2,448.59","2,752.97","3,200.99","3,763.97","4,617.61","5,455.26","6,547.26","7,273.25","7,623.43","7,927.59","8,084.43","8,474.04","9,097.24","8,675.24","9,266.47","9,678.32","10,074.75","10,349.52","10,931.31","10,411.42","10,485.78","10,921.85","11,613.33","12,785.87","14,317.67","16,060.88","16,574.26","14,688.68","13,574.44","13,295.36","13,825.32","13,414.90","13,980.61","14,728.71","15,588.54","15,686.75","16,902.15","17,495.76","13,997.54","14,809.48","16,786.94","18,264.77","19,443.79","20,354.80","21,050.00","21,766.93",2011
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,361.21","6,671.43","3,257.85","3,962.74","4,374.78","3,248.75","3,857.03","3,909.98","4,524.50","2,867.31","4,857.80","6,429.45","7,653.71","7,796.24","8,378.74","8,295.12","8,645.46","9,196.52","9,283.18","8,709.07","8,638.54","8,085.36","2,997.62","3,761.09","4,314.10","5,163.55","5,976.08","7,315.73","9,146.79","8,337.81","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,618.33","11,786.43","10,054.02","8,571.94","10,616.95","13,621.86","13,767.10","13,607.49","13,116.37","13,143.98","13,612.55",2010
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,"1,180.40","1,628.06","2,128.15","3,079.03","3,913.44","2,911.76","3,121.78","3,417.17","3,575.53","3,732.04","3,889.00","3,529.03","3,524.00","3,868.91","4,195.96","4,596.86","4,267.49","4,701.48","5,971.82","6,567.73","7,082.74","7,728.06","8,278.01","8,879.05",2020
Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"16,548.72","16,620.85","17,750.49","18,825.01","19,215.01","20,681.02","20,740.13","21,307.25","21,949.49","23,700.63","24,172.09","24,845.66","26,736.58","28,172.19","25,134.77","24,084.88","25,656.88","25,006.76","25,813.58","26,129.83","27,458.21","27,441.55","28,440.05","29,402.69","30,850.84","24,036.87","28,682.80","31,990.12","33,482.37","34,779.54","36,126.96","37,562.52","38,915.10",2019
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,000.11","12,520.00","12,226.55","11,584.20","12,566.63","10,960.22","11,237.66","12,989.87","16,235.07","18,191.41","18,859.61","18,656.52","18,106.74","17,447.64","19,736.29","20,908.44","23,153.75","23,023.64","20,374.75","21,748.00","20,879.21","19,473.67","21,683.51","27,283.27","32,843.38","36,217.49","37,929.78","45,157.56","49,169.07","45,733.62","56,538.84","67,251.80","68,441.19","65,197.91","61,607.95","51,412.69","51,826.43","55,812.00","56,333.52","54,323.09","52,952.83","63,464.11","66,407.60","68,023.15","69,018.18","70,979.18","73,091.99","75,393.91",2021
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,731.96","9,280.73","9,267.66","9,417.24","8,882.63","9,090.80","12,886.10","16,093.01","17,632.82","17,547.81","21,827.44","22,621.88","25,068.40","24,152.66","25,725.56","30,350.53","29,820.60","26,737.48","27,399.09","27,210.47","24,636.47","24,558.92","26,508.32","32,298.61","36,883.89","38,450.61","40,674.88","46,922.56","51,914.01","48,111.66","46,955.17","51,452.28","48,616.90","50,747.38","51,814.42","44,267.81","45,278.83","47,320.54","51,254.40","50,239.42","48,636.30","53,332.27","52,061.65","52,316.14","54,408.88","56,624.59","58,909.93","61,224.41",2021
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,159.971,174.875,297.162,316.227,411.14,508.043,543.344,576.005,656.386,674.783,760.812,879.863,"1,039.82","1,571.29","2,458.42","3,818.27","5,578.56","4,963.77","5,880.81","7,242.81","7,545.87","7,926.09","7,939.17","5,300.14","3,897.71","4,217.65","4,759.80","4,826.35","4,240.84","5,397.93","6,842.03","6,871.52","7,154.36","7,445.64","7,727.30","8,029.69",2021
